Ticker,Name,Sector,Industry,MarketCap,CapBucket
NTRS,Northern Trust Corporation,Financial Services,Asset Management,26719174656.0,Large
NUE,Nucor Corporation,Basic Materials,Steel,38070640640.0,Large
NVDA,NVIDIA Corporation,Technology,Semiconductors,4638834163712.0,Large
NVR,"NVR, Inc.",Consumer Cyclical,Residential Construction,20397676544.0,Large
NWS,News Corporation,Communication Services,Entertainment,16665508864.0,Large
NWSA,News Corporation,Communication Services,Entertainment,15303630848.0,Large
NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,56188776448.0,Large
O,Realty Income Corporation,Real Estate,REIT - Retail,52149456896.0,Large
ODFL,"Old Dominion Freight Line, Inc.",Industrials,Trucking,33519718400.0,Large
OKE,"ONEOK, Inc.",Energy,Oil & Gas Midstream,45877723136.0,Large
OMC,Omnicom Group Inc.,Communication Services,Advertising Agencies,25396656128.0,Large
ON,ON Semiconductor Corporation,Technology,Semiconductors,22464942080.0,Large
ORCL,Oracle Corporation,Technology,Software - Infrastructure,568851038208.0,Large
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Auto Parts,78046478336.0,Large
OTIS,Otis Worldwide Corporation,Industrials,Specialty Industrial Machinery,34388680704.0,Large
OXY,Occidental Petroleum Corporatio,Energy,Oil & Gas E&P,39260635136.0,Large
PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,128896540672.0,Large
PAYC,"Paycom Software, Inc.",Technology,Software - Application,9024119808.0,Mid
PAYX,"Paychex, Inc.",Technology,Software - Application,40990494720.0,Large
PCAR,PACCAR Inc.,Industrials,Farm & Heavy Construction Machinery,58712596480.0,Large
PCG,Pacific Gas & Electric Co.,Utilities,Utilities - Regulated Electric,34661048320.0,Large
PEG,Public Service Enterprise Group,Utilities,Utilities - Regulated Electric,40126988288.0,Large
PEP,"Pepsico, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,196845928448.0,Large
PFE,"Pfizer, Inc.",Healthcare,Drug Manufacturers - General,142654406656.0,Large
PFG,Principal Financial Group Inc,Financial Services,Asset Management,19911043072.0,Large
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,338761875456.0,Large
PGR,Progressive Corporation (The),Financial Services,Insurance - Property & Casualty,133143609344.0,Large
PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,112381263872.0,Large
PHM,"PulteGroup, Inc.",Consumer Cyclical,Residential Construction,23517870080.0,Large
PKG,Packaging Corporation of Americ,Consumer Cyclical,Packaging & Containers,18797467648.0,Large
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,119554482176.0,Large
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,449778286592.0,Large
PM,Philip Morris International Inc,Consumer Defensive,Tobacco,250696663040.0,Large
PNC,"PNC Financial Services Group, I",Financial Services,Banks - Regional,84045291520.0,Large
PNR,Pentair plc.,Industrials,Specialty Industrial Machinery,17324255232.0,Large
PNW,Pinnacle West Capital Corporati,Utilities,Utilities - Regulated Electric,10580631552.0,Large
PODD,Insulet Corporation,Healthcare,Medical Devices,20317396992.0,Large
POOL,Pool Corporation,Industrials,Industrial Distribution,8676064256.0,Mid
PPG,"PPG Industries, Inc.",Basic Materials,Specialty Chemicals,23545024512.0,Large
PPL,PPL Corporation,Utilities,Utilities - Regulated Electric,25950052352.0,Large
PRU,"Prudential Financial, Inc.",Financial Services,Insurance - Life,40110936064.0,Large
PSA,Public Storage,Real Estate,REIT - Industrial,45736189952.0,Large
PSKY,Paramount Skydance Corporation,Communication Services,Entertainment,14992040960.0,Large
