Ticker,Name,Sector,Industry,MarketCap,CapBucket
APAC,StoneBridge Acquisition II Corp,Financial Services,Shell Companies,79940656.0,Micro
APACR,StoneBridge Acquisition II Corp,,,,Unknown
APACU,StoneBridge Acquisition II Corp,Financial Services,Shell Companies,,Unknown
APAD,A Paradise Acquisition Corp.,Financial Services,Shell Companies,274030016.0,Micro
APADR,A Paradise Acquisition Corp.,,,0.0,Unknown
APADU,A Paradise Acquisition Corp.,Financial Services,Shell Companies,,Unknown
APEI,"American Public Education, Inc.",Consumer Defensive,Education & Training Services,677646080.0,Small
APGE,"Apogee Therapeutics, Inc.",Healthcare,Biotechnology,5282520064.0,Mid
API,"Agora, Inc.",Technology,Software - Application,356549248.0,Small
APLD,Applied Digital Corporation,Technology,Information Technology Services,6716287488.0,Mid
APLM,Apollomics Inc.,Healthcare,Biotechnology,42866960.0,Micro
APLMW,Apollomics Inc. Warrant,,,50735560.0,Micro
APLS,"Apellis Pharmaceuticals, Inc.",Healthcare,Biotechnology,3159334656.0,Mid
APLT,"Applied Therapeutics, Inc.",Healthcare,Biotechnology,16435846.0,Micro
APM,Aptorum Group Limited,Healthcare,Biotechnology,9283883.0,Micro
APOG,"Apogee Enterprises, Inc.",Industrials,Building Products & Equipment,817262464.0,Small
APP,Applovin Corporation,Communication Services,Advertising Agencies,241588240384.0,Large
APPF,"AppFolio, Inc.",Technology,Software - Application,8523781120.0,Mid
APPN,Appian Corporation,Technology,Software - Infrastructure,2649603840.0,Mid
APPS,"Digital Turbine, Inc.",Technology,Software - Application,585417216.0,Small
APPX,Tradr 2X Long APP Daily ETF,,,,Unknown
APRE,"Aprea Therapeutics, Inc.",Healthcare,Biotechnology,6855360.0,Micro
APVO,Aptevo Therapeutics Inc.,Healthcare,Biotechnology,10229935.0,Micro
APWC,Asia Pacific Wire & Cable Corpo,Industrials,Electrical Equipment & Parts,40076316.0,Micro
APXT,Apex Treasury Corporation,Financial Services,Shell Companies,454084800.0,Small
APXTU,Apex Treasury Corporation,Financial Services,Shell Companies,,Unknown
APXTW,Apex Treasury Corporation,Financial Services,Shell Companies,,Unknown
APYX,Apyx Medical Corporation,Healthcare,Medical Devices,141141904.0,Micro
AQB,"AquaBounty Technologies, Inc.",Consumer Defensive,Farm Products,3955249.0,Micro
AQMS,"Aqua Metals, Inc.",Industrials,Waste Management,14458931.0,Micro
AQST,"Aquestive Therapeutics, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,730798592.0,Small
AQWA,Global X Clean Water ETF,,,,Unknown
ARAI,Arrive AI Inc.,Technology,Software - Infrastructure,110167112.0,Micro
ARAY,Accuray Incorporated,Healthcare,Medical Devices,93540440.0,Micro
ARBB,ARB IOT Group Limited,Technology,Information Technology Services,10309095.0,Micro
ARBE,Arbe Robotics Ltd.,Technology,Scientific & Technical Instruments,112125288.0,Micro
ARBEW,Arbe Robotics Ltd. Warrant,,,,Unknown
ARBK,Argo Blockchain plc,Financial Services,Capital Markets,1127696.0,Micro
ARCB,ArcBest Corporation,Industrials,Trucking,1755651456.0,Small
ARCC,Ares Capital Corporation,Financial Services,Asset Management,14457677824.0,Large
ARCT,Arcturus Therapeutics Holdings ,Healthcare,Biotechnology,175021216.0,Micro
ARDX,"Ardelyx, Inc.",Healthcare,Biotechnology,1394672512.0,Small
AREB,"American Rebel Holdings, Inc.",Consumer Cyclical,Footwear & Accessories,5691610.0,Micro
AREBW,"American Rebel Holdings, Inc. W",,,,Unknown
AREC,American Resources Corporation,Basic Materials,Coking Coal,276273152.0,Micro
ARGX,argenx SE,Healthcare,Biotechnology,52618444800.0,Large
ARHS,"Arhaus, Inc.",Consumer Cyclical,Specialty Retail,1653264512.0,Small
ARKO,ARKO Corp.,Consumer Cyclical,Specialty Retail,523124448.0,Small
ARKR,Ark Restaurants Corp.,Consumer Cyclical,Restaurants,22971220.0,Micro
ARLP,"Alliance Resource Partners, L.P",Energy,Thermal Coal,3019342848.0,Mid
ARM,Arm Holdings plc,Technology,Semiconductors,116996308992.0,Large
ARMG,Leverage Shares 2X Long ARM Dai,,,,Unknown
AROW,Arrow Financial Corporation,Financial Services,Banks - Regional,518280224.0,Small
ARQ,"Arq, Inc.",Industrials,Pollution & Treatment Controls,145586144.0,Micro
ARQQ,Arqit Quantum Inc.,Technology,Software - Infrastructure,357018880.0,Small
